id,label,size
https://www.studenti.unige.it,,5595
/orientamento/opendaycorsi/,,1
/orientamento/simulazionetest/,,1
/Unigeprint/,,1
/offertaformativa/lauree,,1
/offertaformativa/laureemagistrali,,1
/orientamento/studiareagenova/,,1
/orientamento/pubblicazioni/,,1
/iscrizioni/immatricolazioni/preiscrizioni_test/,,1
/portalescuole/,Portale Scuole UNIGE,771716
/orientamento/convenzioni/,,1
/postlaurea/formazioneinsegnanti/,,1
/portalescuole/pls/,,1
/orientamento/iris/,,1
/portalescuole/incontri/,,1
/portalescuole/glues/,,1
/portalescuole/seminari/,,1
/portalescuole/eventi/,,1
/tasse/importi/,Contribuzione studentesca a.a. 2018/19,5208
/tasse/importi/en/,,1
/tasse/certificazione/,,1
/tasse/pagamento_online/,,1
/iscrizioni/tempo_pienoparz/,,1
/tasse/importi/gruppi_contributivi/,,1
/tasse/importi/esoneri,,1
/unigepericampioni/,"Programma ""UNIGE per i campioni"" seconda edizione",3713
/istituto-studi-superiori-issuge/,IANUA-ISSUGE Scuola Superiore UniGE,2828
/modulistica/,Modulistica,3381
/postlaurea/master/,,1
/areaint/,Area internazionale,2065
/enrolment/italians/internat_degree,,1
/areaint/titoloesteroch,,1
/orientamento/spaziogenitori/,Spazio genitori,1849
/sites/www.studenti.unige.it/files/DR%203138%20del%205072018_Bando%20Medicina%20e%20Odontoiatria_firmato.pdf,,1
/sites/www.studenti.unige.it/files/DR%203139%20del%205072018_Bando%20Scienze%20dell%27Architettura_firmato.pdf,,1
/portalescuole/eventi/convegnoasl_atti/,,1
/areaint/studiareestero/,Studiare all'estero,1754
/areaint/studiareestero/erasmusplus/,,1
/tasse/certificazione,,1
/studenti_unige/,Studenti UNIGE,1221
/servizi,,1
/orientamento/valutazione,,1
/future_matricole/,Future Matricole,2158
/orientamento/,,1
/Issuge_anni_precdenti/,ISSUGE - Anni precedenti,20893
/sites/www.studenti.unige.it/files/Bando%20nuovo%20IEB-ISSUGE.pdf,,1
/sites/www.studenti.unige.it/files/BandoIAS-ISSUGE.pdf,,1
/postlaurea/master/modmaster/,,1
/sites/www.studenti.unige.it/files/master/1Bando%20Mawe%202018-2019%20da%20pubblicare%281%29.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Cybersecurity%202018-2019-II%20ed%20DA%20PUBBL.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%204891%20Master%20Digital%20Dentistry-I%20ed-1819%20firmato.pdf,,1
/postlaurea/master/scaduti/,,1
/postlaurea/attivazione,,1
/postlaurea/master/scaduti/chiusi,,1
/sass/chi/,,1
/tasse/benefici/familiari/,,1
/tasse/iseeuparificato/,,1
/sass/,,1
/sass/en,,1
/sass/chi/perm,,1
/sass/chi/all,,1
/sass/chi/codf/,,1
/sass/chi/assa/,,1
/sass/chi/bus/,,1
/sass/chi/link/,,1
/sass/chi/banc/,,1
/postlaurea/master/scaduti,,1
/postlaurea/master,,1
/sites/www.studenti.unige.it/files/master/giurista2018.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%204890%20del%209_10_2018%20firmato_0.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%20modifica%20bando.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%203386%20Bando%20Master%20Infermieristica%20area%20critica-1819%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%204882%20riapertura%20Bando%20area%20critica.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%206348%20del%2021%20dicembre%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%203388%20Bando%20Master%20Management%20professioni%20sanitarie-1819%20firmato%281%29.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%205027%20%20Management%20professioni%20sanitarie%20nuova%20scadenza.pdf,,1
/sites/www.studenti.unige.it/files/master/DR%206350%20firmato%20management.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Pratiche%20di%20Filosofia-20182019-I%20ed.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Master%20RDM%202018-2019%20firmato%20def.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20%205708%20del%2020-11-2018%20%20aumento%20%20n.%20max_1.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando_Master%20DIGITAL%20FORENSICS%20da%20pubbl.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando_Master%20CYBER%20DEFENCE%20da%20pubbl.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Laser%20Dentistry%201819da%20pubbl.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Master%20Implantoprotesi-VII%20ed.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%205582%20riapertura%20domande%20online.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando_CARIGE%20Dr%203376%20del%2018.07.2018%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Linfologia-XIV%20ed-1819%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20181%20ORIGINALE%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20n.%202159%20del%2022_05_2018%20.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%203795%20del%2011%20ottobre%202017%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/master/D.R.%20424%20F.TO_.pdf,,1
/sites/www.studenti.unige.it/files/master/Bando%20Master%20Clinica%20Linfologica-XIV%20ed-1819%20firmato.pdf,,1
/sites/www.studenti.unige.it/files/modulistica/Regolamento%20551_100215.pdf,,1
/sites/www.studenti.unige.it/files/modulistica/allegato_1.1_scheda_progetto_master.doc,,1
/sites/www.studenti.unige.it/files/master/DR%206351%20del%2023122018-Bando%20da%20pubblicare.pdf,,1
/postlaurea/master/scaduti/chiusi/?page=10,Master universitari scaduti,10499
/sites/www.studenti.unige.it/files/master/diritto_tributario13_rev2.pdf,,1
/sites/www.studenti.unige.it/files/master/riapdirittotrib-XI-13-14.pdf,,1
/sites/www.studenti.unige.it/files/master/clinica_linfologica7-08-2013.pdf,,1
/sites/www.studenti.unige.it/files/master/mpl_linfologia7-08-2013_0.pdf,,1
